----Jewelers and precious stone and metal workers,24,-,16,-,8,-
"----Medical, dental, and ophthalmic laboratory technicians",71,626,29,-,43,-
----Packaging and filling machine operators and tenders,239,490,106,522,133,477
----Painting workers,132,694,120,703,12,-
----Photographic process workers and processing machine operators,21,-,11,-,10,-
----Semiconductor processors,1,-,0,-,1,-
----Adhesive bonding machine operators and tenders,5,-,2,-,3,-
"----Cleaning, washing, and metal pickling equipment operators and tenders",5,-,4,-,1,-
----Cooling and freezing equipment operators and tenders,4,-,4,-,0,-
----Etchers and engravers,9,-,7,-,3,-
"----Molders, shapers, and casters, except metal and plastic",21,-,17,-,4,-
"----Paper goods machine setters, operators, and tenders",29,-,27,-,2,-
----Tire builders,11,-,11,-,0,-
----Helpers--production workers,42,-,31,-,11,-
"----Production workers, all other",850,621,659,676,191,492
--Transportation and material moving occupations,6845,637,5927,664,918,510
